region,oktmo,lat_round,lon_round,companies_count,high_risk_companies
adygeya,79605407101.0,44.856,40.077,1,0
adygeya,79605407101.0,44.877,40.057,1,0
adygeya,79615425101.0,44.786,40.539,1,0
adygeya,79618404101.0,45.047,39.64,1,0
adygeya,79618415106.0,45.1,39.762,1,0
adygeya,79618420101.0,45.128,39.571,1,0
adygeya,79618420101.0,45.131,39.578,1,0
adygeya,79618420101.0,45.144,39.591,1,0
adygeya,79618435101.0,45.19,39.661,1,0
adygeya,79618435101.0,45.194,39.668,2,0
adygeya,79618435101.0,45.195,39.666,1,0
adygeya,79622402101.0,44.39,40.198,1,0
adygeya,79622420101.0,44.621,40.144,1,0
adygeya,79622425101.0,44.578,40.087,1,0
adygeya,79622425146.0,44.556,40.096,1,0
adygeya,79622434101.0,44.677,40.302,1,0
adygeya,79622434111.0,44.663,40.379,1,0
adygeya,79622447116.0,44.564,40.144,1,0
adygeya,79622447121.0,44.551,40.151,1,0
adygeya,79622447121.0,44.552,40.157,1,0
adygeya,79622455101.0,44.501,40.172,1,0
adygeya,79622455101.0,44.513,40.173,1,0
adygeya,79622455101.0,44.514,40.17,1,0
adygeya,79622455101.0,44.517,40.183,1,0
adygeya,79622455101.0,44.528,40.172,1,0
adygeya,79622455101.0,44.532,40.164,1,0
adygeya,79622457101.0,44.288,40.177,1,0
adygeya,79622457101.0,44.293,40.178,1,0
adygeya,79622457101.0,44.298,40.189,1,0
adygeya,79630157051.0,44.915,38.916,1,0
adygeya,79630157051.0,44.919,38.903,1,0
adygeya,79630157051.0,44.92,38.905,1,0
adygeya,79630157051.0,44.922,38.915,1,0
adygeya,79630157051.0,44.923,38.907,2,0
adygeya,79630157051.0,44.924,38.902,10,0
adygeya,79630157051.0,44.925,38.907,1,0
adygeya,79630157051.0,44.929,38.915,2,0
adygeya,79630157051.0,44.93,38.915,2,0
adygeya,79630159051.0,44.968,38.935,2,0
adygeya,79630159051.0,44.978,38.937,3,0
adygeya,79630159051.0,44.979,38.948,1,0
adygeya,79630159051.0,44.979,38.953,1,0
adygeya,79630159051.0,44.981,38.949,8,0
adygeya,79630159051.0,44.982,38.93,2,0
adygeya,79630159051.0,44.982,38.941,1,0
adygeya,79630159051.0,44.984,38.96,1,0
adygeya,79630159051.0,44.986,38.944,1,0
adygeya,79630159051.0,44.987,38.94,1,0
adygeya,79630159051.0,44.987,38.95,3,0
adygeya,79630159051.0,44.987,38.959,3,0
adygeya,79630159051.0,44.988,38.953,5,0
adygeya,79630159051.0,44.989,38.953,2,0
adygeya,79630159051.0,44.991,38.928,3,0
adygeya,79630159051.0,44.997,38.943,1,0
adygeya,79630159051.0,44.998,38.931,6,0
adygeya,79630159051.0,45.002,38.933,2,0
adygeya,79630159051.0,45.002,38.937,1,0
adygeya,79630159051.0,45.009,38.945,1,0
adygeya,79630405101.0,44.998,38.778,1,0
adygeya,79630405106.0,44.996,38.793,1,0
adygeya,79630405111.0,44.988,38.719,1,0
adygeya,79630415101.0,45.035,38.894,1,0
adygeya,79630415106.0,45.021,38.923,4,0
adygeya,79630415106.0,45.025,38.927,1,0
adygeya,79630415106.0,45.025,38.933,7,0
adygeya,79630415106.0,45.027,38.935,1,0
adygeya,79630415111.0,44.999,38.87,1,0
adygeya,79630417101.0,44.995,38.987,1,0
adygeya,79630417101.0,44.999,38.999,1,0
adygeya,79630419101.0,44.884,39.07,1,0
adygeya,79630419101.0,44.885,39.071,2,0
adygeya,79630420101.0,44.915,38.997,1,0
adygeya,79630420101.0,44.921,38.995,3,0
adygeya,79630420101.0,44.952,38.998,1,0
adygeya,79630420121.0,44.953,39.026,1,0
adygeya,79633155051.0,44.98,39.104,1,0
adygeya,79633155051.0,44.982,39.094,2,0
adygeya,79633155051.0,44.983,39.084,1,0
adygeya,79633430101.0,44.888,39.386,1,0
adygeya,79633430126.0,44.941,39.369,1,0
adygeya,79640430101.0,45.013,40.253,1,0
adygeya,79640435101.0,45.009,40.219,1,0
adygeya,79701000001.0,44.584,40.127,3,0
